country,animal,col
Great Britain,cattle,3
Great Britain,cattle,2
Great Britain,cattle,1
Great Britain,pigs,2
Great Britain,pigs,1
Great Britain,sheep,10
Great Britain,sheep,9
Great Britain,sheep,8
Great Britain,sheep,7
Great Britain,sheep,6
Great Britain,sheep,5
Great Britain,sheep,4
Great Britain,sheep,3
Great Britain,sheep,2
Great Britain,sheep,1
United States,cattle,9
United States,cattle,8
United States,cattle,7
United States,cattle,6
United States,cattle,5
United States,cattle,4
United States,cattle,3
United States,cattle,2
United States,cattle,1
United States,pigs,6
United States,pigs,5
United States,pigs,4
United States,pigs,3
United States,pigs,2
United States,pigs,1
United States,sheep,7
United States,sheep,6
United States,sheep,5
United States,sheep,4
United States,sheep,3
United States,sheep,2
United States,sheep,1
